id,label,timeset,users_can_post,link,category,username,talking_about_count,post_activity,fan_count,modularity_class,pageranks
20964523884,All That Remains,,yes,https://www.facebook.com/allthatremains/,Musician/Band,allthatremains,25099,0.02,1814216,4,3.479942379810878E-4
124431018577,Guns & Ammo,,yes,https://www.facebook.com/GunsAndAmmoMag/,Media/News Company,GunsAndAmmoMag,5309,0.12,727623,4,8.196279711975654E-4
223598107688462,War History Online,,no,https://www.facebook.com/wrhstol/,Media/News Company,wrhstol,370096,3.6,1497258,4,3.479942379810878E-4
251317564934798,SOFREP.com,,no,https://www.facebook.com/sofrep/,News & Media Website,sofrep,12488,0.95,606205,3,0.003947071077136355
768605563163163,American Girls with Guns,,no,https://www.facebook.com/AmericanGG/,Society & Culture Website,AmericanGG,44046,0.41,928253,4,3.8432278025450097E-4
478672978826869,Anti Terror Squads,,yes,https://www.facebook.com/Anti-Terror-Squads-478672978826869/,Community,,730,0.0,260273,4,3.479942379810878E-4
112905748806596,FailArmy,,yes,https://www.facebook.com/failarmy/,Just For Fun,failarmy,1994596,0.25,15336115,4,3.7488479144682715E-4
146505212039213,UNILAD,,yes,https://www.facebook.com/uniladmag/,Magazine,uniladmag,20861842,1.92,31501223,4,4.936870424914186E-4
1380502268944822,John Burk,,yes,https://www.facebook.com/johnburk1775/,Public Figure,johnburk1775,68412,0.22,570952,4,7.811297387815492E-4
512537512122083,Enlisted Nine Fight Company,,yes,https://www.facebook.com/EnlistedNineFightCompany/,Clothing (Brand),EnlistedNineFightCompany,112483,1.11,275056,4,4.204066700438503E-4
106383436061137,MUSA Military Entertainment Consulting,,yes,https://www.facebook.com/musaconsulting/,Arts & Entertainment,musaconsulting,12,0.0,1167,4,3.479942379810878E-4
111499100431,National Association for Gun Rights,,no,https://www.facebook.com/nagrfb/,Nonprofit Organization,nagrfb,97317,0.14,4586472,4,0.0014022396981225134
808197552580403,Veterans Expeditionary Team,,yes,https://www.facebook.com/thevet1/,Public Figure,thevet1,20,0.0,21330,4,3.479942379810878E-4
15704546335,Fox News,,no,https://www.facebook.com/FoxNews/,Media/News Company,FoxNews,3235914,2.08,15659987,4,0.001010234387968964
466988703323583,Colton Smith MMA,,yes,https://www.facebook.com/ColtonSmithMMA/,Athlete,ColtonSmithMMA,1432,0.02,9448,4,7.280059588744525E-4
99298439157,ITS Tactical,,yes,https://www.facebook.com/ITStactical/,Media/News Company,ITStactical,794,0.08,185766,4,6.798409013484385E-4
474727025886753,Hydra Tactical Supply,,yes,https://www.facebook.com/HYDRATacticalSupply/,Retail Company,HYDRATacticalSupply,8,0.0,15048,4,3.479942379810878E-4
225870585280,Revolution Brewing,,no,https://www.facebook.com/RevBrewChicago/,Pub,RevBrewChicago,2408,0.02,64194,4,3.479942379810878E-4
971066586240937,Warfighter Expeditionary Operations,,yes,https://www.facebook.com/WFExpeditionaryOperations/,Nonprofit Organization,WFExpeditionaryOperations,2,0.0,4132,4,3.479942379810878E-4
572324529492982,Mike Donnell Band,,yes,https://www.facebook.com/MikeDonnellBand/,Musician/Band,MikeDonnellBand,147,0.02,7625,4,3.479942379810878E-4
195258057192505,Funker530 - Combat Footage,,yes,https://www.facebook.com/FUNKER530/,TV Show,FUNKER530,72372,0.25,2151724,2,0.0026251314795665693
732903773415370,Frashure Firearms,,yes,https://www.facebook.com/frashurefirearms/,Sports & Recreation,frashurefirearms,1,0.0,863,4,3.479942379810878E-4
86071341556,Special Operations Warrior Foundation,,yes,https://www.facebook.com/WarriorFoundation/,Nonprofit Organization,WarriorFoundation,431,0.02,109395,3,0.0029502150593736925
391755337586606,The Three Percenters - III%ers,,yes,https://www.facebook.com/ThreePercenters/,Organization,ThreePercenters,35008,0.52,131347,4,3.479942379810878E-4
214188818661496,Tactical Beard Owners Club (TBOC),,no,https://www.facebook.com/tacticalbeardownersclub/,Organization,tacticalbeardownersclub,42,0.0,41117,4,6.283738041698181E-4
205716386278558,Veterans Party of America,,yes,https://www.facebook.com/VeteransPartyOfAmerica/,Political Party,VeteransPartyOfAmerica,1905,0.19,61686,4,3.82408541595143E-4
112926762170921,Medford Knife & Tool,,yes,https://www.facebook.com/Medford-Knife-Tool-112926762170921/,Commercial & Industrial,,135,0.02,17571,4,4.1360504643531056E-4
187836927946202,REDCON-1 MUSIC GROUP,,yes,https://www.facebook.com/redcon1music/,Record Label,redcon1music,18,0.01,9655,4,5.790722845065025E-4
